Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg. MRx U MRy effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg. MRx U MRy effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. MRx U MRy effectiveness of composite MR against composable MRs
,flipUpDown,contrastDown,0.260940032,0.038897893,0.272285251,0.257698541,0.944894652,0.729335494,0.961102107,0.943273906,0.231766613,0.01458671,0.231766613,0.230145867,0.001620746,0,0.001620746,118.9183724,124.1970489,243.1154213,125.6703055,1,0,1,0,1,0
,rotatePlus5deg,contrastDown,0.215559157,0.038897893,0.231766613,0.235008104,0.779578606,0.729335494,0.854132901,0.771474878,0.110210697,0.01458671,0.11993517,0.110210697,0.024311183,0.006482982,0.004862237,125.4019257,120.9893836,246.3913093,122.3987894,0,1,1,0,1,0
,shearPlus20deg,contrastDown,0.215559157,0.038897893,0.223662885,0.205834684,0.852512156,0.729335494,0.886547812,0.849270665,0.157212318,0.01458671,0.160453809,0.14910859,0.004862237,0.003241491,0.001620746,247.360005,119.150702,366.510707,242.9171109,1,0,1,0,1,0
,fisheye,brightnessPlus20,0.410048622,0.024311183,0.41815235,0.410048622,0.6726094,0.732576985,0.905996759,0.661264182,0.152350081,0.011345219,0.157212318,0.145867099,0.009724473,0,0,6653.753131,114.5192661,6768.272397,6228.830044,1,0,1,0,1,0
,fisheye,brightnessMinus20,0.410048622,0.081037277,0.437601297,0.413290113,0.6726094,0.756888169,0.907617504,0.667747164,0.152350081,0.042139384,0.165316045,0.153970827,0.012965964,0.003241491,0.004862237,6475.294625,118.8477187,6594.142344,6265.166996,1,1,1,0,1,1
,fisheye,contrastUp,0.410048622,0.212317666,0.478119935,0.395461912,0.6726094,0.883306321,0.943273906,0.755267423,0.152350081,0.175040519,0.218800648,0.196110211,0.047001621,0.011345219,0.011345219,5487.683043,107.8265183,5595.509561,5464.3007,1,0,1,0,1,1
,fisheye,contrastDown,0.410048622,0.038897893,0.419773096,0.410048622,0.6726094,0.729335494,0.899513776,0.659643436,0.152350081,0.01458671,0.152350081,0.145867099,0.01458671,0,0,5517.7105,119.2729299,5636.98343,5505.310783,1,0,1,0,1,0
,fisheye,blurImage,0.410048622,0.222042139,0.482982172,0.384116694,0.6726094,0.897893031,0.940032415,0.789303079,0.152350081,0.186385737,0.223662885,0.217179903,0.048622366,0.017828201,0.01458671,5548.28393,121.2110631,5669.494993,5489.983889,1,0,1,0,1,1
oidfurniture,flipLeftRight,flipUpDown,0.34085213,0.423558897,0.506265664,0.423558897,0.704260652,0.992481203,1,0.994987469,0.172932331,0.421052632,0.428571429,0.421052632,0.002506266,0,0,78.783441,87.0512894,165.8347304,73.5048222,1,0,1,1,1,0
,flipLeftRight,rotateMinus5deg,0.34085213,0.35839599,0.49122807,0.408521303,0.704260652,0.719298246,0.84962406,0.731829574,0.172932331,0.200501253,0.280701754,0.230576441,0.085213033,0.045112782,0.050125313,71.2447405,71.0945351,142.3392756,66.0458781,1,1,1,1,1,1
