Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
,shearPlus20degrees,blurImage,0.483709273,0.483709273,0.629072682,0.62406015,0.486215539,0.471177945,0.604010025,0.629072682,0.393483709,0.403508772,0.518796992,0.558897243,0.090225564,0.070175439,0.082706767,522.2916617,447.7334991,970.0251608,522.3406789,1,1,0,1,0,1
,flipLeftRight,brightnessPlus20,0.298245614,0.258145363,0.428571429,0.35839599,0.248120301,0.218045113,0.335839599,0.298245614,0.177944862,0.162907268,0.268170426,0.223057644,0.042606516,0.035087719,0.025062657,927.4333848,918.7371642,1846.170549,916.2625982,1,1,1,1,1,1
,flipUpDown,brightnessPlus20,0.832080201,0.258145363,0.857142857,0.824561404,0.889724311,0.218045113,0.894736842,0.899749373,0.812030075,0.162907268,0.812030075,0.812030075,0.015037594,0.012531328,0.01754386,916.2893025,912.4403381,1828.729641,915.6838755,1,0,0,1,0,0
,rotatePlus5deg,brightnessPlus20,0.421052632,0.258145363,0.493734336,0.458646617,0.393483709,0.218045113,0.446115288,0.456140351,0.325814536,0.162907268,0.365914787,0.363408521,0.05764411,0.050125313,0.047619048,917.1812726,912.2617679,1829.443041,919.0684753,1,1,0,1,1,1
,shearPlus20deg,brightnessPlus20,0.483709273,0.258145363,0.568922306,0.506265664,0.486215539,0.218045113,0.526315789,0.513784461,0.393483709,0.162907268,0.43358396,0.43358396,0.045112782,0.030075188,0.045112782,991.2171294,921.0799738,1912.297103,999.2542645,1,1,1,1,0,1
,flipLeftRight,brightnessMinus20,0.298245614,0.516290727,0.588972431,0.511278195,0.248120301,0.526315789,0.54887218,0.521303258,0.177944862,0.446115288,0.471177945,0.431077694,0.027568922,0.01754386,0.022556391,918.482222,913.8464661,1832.328688,915.1067055,1,0,1,0,1,0
,flipUpDown,brightnessMinus20,0.832080201,0.516290727,0.872180451,0.869674185,0.889724311,0.526315789,0.904761905,0.922305764,0.812030075,0.446115288,0.827067669,0.859649123,0.042606516,0.042606516,0.052631579,908.9054499,925.7347657,1834.640216,913.4286584,1,1,0,1,0,1
,rotatePlus5deg,brightnessMinus20,0.421052632,0.516290727,0.621553885,0.571428571,0.393483709,0.526315789,0.576441103,0.598997494,0.325814536,0.446115288,0.506265664,0.516290727,0.062656642,0.055137845,0.065162907,915.8485087,912.9707929,1828.819302,918.1128479,1,1,0,1,0,1
,shearPlus20deg,brightnessMinus20,0.483709273,0.516290727,0.651629073,0.621553885,0.486215539,0.526315789,0.62406015,0.631578947,0.393483709,0.446115288,0.54887218,0.556390977,0.072681704,0.042606516,0.055137845,990.5412919,911.3566242,1901.897916,996.9544581,1,1,0,1,0,1
,flipLeftRight,fisheye,0.298245614,0.64160401,0.696741855,0.64160401,0.248120301,0.681704261,0.689223058,0.669172932,0.177944862,0.586466165,0.604010025,0.596491228,0.052631579,0.037593985,0.047619048,911.5393475,3977.892568,4889.431915,4724.722561,1,0,1,0,1,1
,flipUpDown,fisheye,0.832080201,0.64160401,0.879699248,0.847117794,0.889724311,0.681704261,0.917293233,0.929824561,0.812030075,0.586466165,0.842105263,0.834586466,0.042606516,0.035087719,0.045112782,913.5325868,4503.491752,5417.024339,4777.2543,1,1,0,1,1,1
,rotatePlus5deg,fisheye,0.421052632,0.64160401,0.701754386,0.666666667,0.393483709,0.681704261,0.704260652,0.689223058,0.325814536,0.586466165,0.616541353,0.606516291,0.052631579,0.035087719,0.047619048,1002.331682,4285.305135,5287.636817,5715.064044,1,1,1,1,1,1
,shearPlus20deg,fisheye,0.483709273,0.64160401,0.714285714,0.686716792,0.486215539,0.681704261,0.714285714,0.721804511,0.393483709,0.586466165,0.634085213,0.64160401,0.067669173,0.055137845,0.072681704,1146.703733,4366.875907,5513.57964,5671.313388,1,1,0,1,0,1
,flipLeftRight,contrastUp,0.298245614,0.528822055,0.596491228,0.553884712,0.248120301,0.543859649,0.578947368,0.553884712,0.177944862,0.453634085,0.486215539,0.483709273,0.060150376,0.042606516,0.052631579,991.2135954,991.7508848,1982.96448,996.2233933,1,1,1,1,1,1
